date,event_name,category,description,,
11/18/2020,COVID-19 Vaccine Developed,public health,Pfizer announces its COVID-19 vaccine that is 95% effective; sparks antivax movement,,
1/6/2021,January 6 Riot,"electoral politics, institutional trust","After losing the presidency, Donald Trumps calls his supporters to storm the Capitol; he becomes impeached for insurrection",,
2/19/2021,U.S. Rejoins Paris Climate Accords,"foreign policy, climate change",Joe Biden declares U.S will rejoin the Paris Agreement after withdrawing in 2020 by Trump administration ,,
8/31/2021,War in Afghanistan Over,foreign policy,Joe Biden declares 20 year war in Afghanistan over,,
9/3/2021,Texas Abortion Laws,"gender, public health",Texas implements Heartbeat Act which bans abortions after ~six weeks,,
4/25/2022,Elon Musk Acquires Twitter,,Elon Musk becomes the owner of twitter for $44 billion,,
5/24/2022,Uvalde Shooting,mass shooting,"A lone gunman in Uvalde, Texas kills two teachers and 19 students in an elementary school ",,
6/24/2022,Supreme Court Overturns Roe v. Wade,"gender, public health",Supreme Court overturns legistlation that effectively criminalizes abortion in many states,,
11/9/2022,Midterm Elections,electoral politics,Democrats hold control of the US Senate; Republicans win a slim majority of the House,,
12/1/2022,Inflation Concerns,"economy, institutional trust",Inflation hits deades-long highs; gas prices and food costs increase significantly,,
12/1/2022,Immigration Concerns,"immigration, foreign policy",Record number of migrant arrests at the southern border; Republican governors send migrants to Democrat-controlled cities,,
4/4/2023,Project 2025,"electoral politics, institutional trust",The Heritage Foundation publishes this political initiative that is meant to reshape the US government in favor of right-wing policies,,
6/29/2023,Supreme Court Guts Affirmative Action ,"electoral politcs, racial justice",Supreme Court reverses decades of precedent that allowed race to be a factor considered during college admissions,,
8/24/2023,Donald Trump Faces Criminal Charges,electoral politics,Trump faces 91 federal and state criminal counts over conspiracy to defraud the US and attempting to overturn the 2020 election,,
10/7/2023,Israel-Palestine Conflict Escalates,"foreign policy, electoral politics",Gaza conflict escalates; causes US citizens to make American intervention in said conflict a bipartisan issue,,
4/14/2024,Arizona Abortion Ban,"gender, public health",Arizona Supreme Court rules that a near-total ban from 1864 is enforceable,,
5/25/2024,Donald Trump Found Guilty,"electoral politics, institutional trust",Donald Trump becomes the first former US president to be convicted of a crime;  he was found guilty on all 34 felony counts of falsifying business records,,
7/13/2024,Donald Trump Assassination Attempt,"gun violence, electoral politics",An attempted assassination on Donald Trump happens at a rally in PA; people speculate the validity of this shooting,,
8/22/2024,Kamala Harris Replaces Joe Biden as Democratic Nominee,electoral politics,Kamala Harris becomes the Democrat nominee for President after Joe Biden steps down,,
11/5/2024,U.S. Presidential Election,electoral politics,Kamala Harris v Donald Trump; Donald Trumps wins the presidency again,,
3/1/2025,DOGE Cuts,"electoral politics, institutional trust","Elon Musk's DOGE fires 260,000 federal workers; eliminates ""DEI"" and cuts funding for many federal agencies",,
4/1/2025,Tariffs,"economy, institutional trust",Donald Trump imposes a minimum of 10% tariffs on all goods being imported from other countries,,
6/1/2025,National Guard Deployed,institutional trust,"Donald Trump deploys the National Guard to Democrat-led cities including LA, DC, and Chicago ",,
7/1/2025,Immigration Crackdown,"immigration, foreign policy",Trump administration cracks down on immigration from Mexico and Central America; increases funding for ICE and detention centers built around the country,,
9/10/2025,Charlie Kirk Assassination,gun violence,Right-wing podcaster Charlie Kirk gets assassinated during a Turning Point USA event,,
11/4/2025,Zohran Mamdani Elected Mayor of NYC,politics,NYC elects a Democratic-Socialist as the mayor of the city,,
11/19/2025,Epstein Files Released,gender,Congress passes legislation compelling the release of the Epstein files,,
